,Text, predicted sentiment
1694,@hunterw Walk-in clinics often have #COVID19 tests.  Some waiting around.  But faster than that.,0
1695,if yall believe a billionaire elite guy who has access to health benefits that far reach anybody in the 98% REALLY HAS #CORONA you are apart of the issue. #CovidCaughtTrump #COVID19 #trump #sillyrabbits,0
1696,"If we start losing Chris Christie to #COVID19, we should let him have his final moments here. We owe it to him. ",0
1697,"@MeidasTouch @marynlm I dont want to be one to traffic in gossip, but in the extended audio, trump goes out of his way to say that he and Melanie (sic) were both exposed to #COVID19 by Hicks. He always telegraphs his tell. Truth is Hicks and trump are VERY close. ",0
1698,@SarahHuckabee @CoachSamPittman @RazorbackFB He cant even protect himself from #COVID19  How can he protect America?  I prefer a candidate that doesn't get infected. I prefer a candidate that doesn't infect other people. I prefer a candidate that isn't as mentally weak as our president.  #TrumpVirus #TrumpLied209KDied ,1
1699,JFC #COVID19 is spreading around the capital like a STD!  #TrumpHasCovid,0
1700,President @realDonaldTrump gets a 6-room suite for his #COVID19 treatment ,0
1701,"@Rogers4Texas @robineggtexas Graham, Trump and GOP have defended and helped Trump as he spread misinformation and conspiracy theories about #COVID19 and mocked people for wearing facemasks and social distancing as un-American. They are complicit in nearly 210k American deaths and they wonder why the hate?",0
1702,#Coronavirus #COVID19 #TotalCases #Mizoram #DY365 Mizoram: COVID-19 toll rises to 2120 with 17 new cases ,1
1703,"Micro Chip ( Mark Of The Beast ) Coming 2021?, Consequences To Those Who...  via @YouTube #COVID19Vic #COVID19 #coronavirus #TrumpHasCovid ",0
1704,I've never heard or seen such corruptions as the @GOP They are so corrupt in every part of society! #CorruptGOP refuse to provide relief to struggling #Americans have no plan for #Covid19 Still silent on #USPSSabbotage #RussianBountiesOnOurTroops ... just so much! #VoteBlue2020 ,0
1705,"India's #COVID19 tally crosses 65-lakh mark with a spike of 75,829 new cases &amp; 940 deaths reported in last 24 hours.  Total case tally stands at 65,49,374 including 9,37,625 active cases, 55,09,967 cured/discharged/migrated cases &amp; 1,01,782 deaths: Union Health Ministry ",1
1706,"#SriLanka: A #Covid19 positive case outside a quarantine centre, reported from Minuwangoda, Gampaha. An apparel factory worker, 15 staff of Gampaha hospital &amp; 40 of her close contacts at the private apparel company moved for quarantine. Investigations underway. #lka #Covid19LK",0
1707,"Vaccine platform and for possible serological diagnostic. Structure-Based design of...SARS-CoV-2 SCIENCE Sept18, 2020 Vol. 369 Issue 6510 pp. 1501-1505. @PeterHotez @JohnsHopkinsMMI @ClevelandClinic @CUAnschutz @MayoClinic @MGHMedicine @CedarsSinai @nyulangone @choo_ek #COVID19",0
1708,#Trump burning the midnight oil at walter reed hospital! Most of ya'll sleeping right now and this dude working on a weekend at 74 years old WITH #COVID19! No excuses! #TRUMP2020 ,0
1709,"This is every confirmed case of coronavirus in the North West on Saturday, October 3, 2020  Full list of Confirmed Cases of #COVID19 in North West plus Hospital Admissions @Laboursupportuk",1
1710,"India's #COVID19 tally crosses 65-lakh mark with a spike of 75,829 new cases &amp; 940 deaths reported in last 24 hours.  Total case tally stands at 65,49,374 including 9,37,625 active cases, 55,09,967 cured/discharged/migrated cases &amp; 1,01,782 deaths: Union Health Ministry",1
1711,Police curfew imposed in Diwulapitiya and Minuwangoda areas until further notice!!  #Covid19 #lka #Srilanka #Diwulapitiya,0
1712,"@IvankaTrump Is this all a staged drama to divert attention from Trumps failed leadership on COVID, a chaotic presidency, dismal tax returns, huge debts, a losing reelection campaign &amp; white nationalism? Discrepancies are popping up that are confusing. I smell a rat.  214,273 Dead #COVID19",0
1713,"In a video published on Twitter, the US president thanked every person who has shown him support after his Covid-19 diagnosis. Trump also praised the 'miracle' therapeutics which are helping him  Read more:    #COVID19 #TrumpCovid ",0
1714,Why am I not seeing the state of Wisconsin in the top 30 even of these tweets? #covid19,0
1715,"@TheTweetOfGod What? The drugs are working? Come and say youve created a super intelligent beings about those doctors who overturned your plan, blah blah blah. DO YOUR JOB RIGHT FOR ONCE!!! #COVID19 #TrumpCovid",0
1716,AiMed reports increased growth rate of Indian medical device industry during Covid-19 #AiMed #covid-19 #covid19 #nppa #cdsco #medicaldevices #ppekit ,0
1717,"@ANI #COVID19  Cases 04/10/20:  Total no of  Cases- 65,49,373 Active- 9,37,625 Recoveries- 55,09,966 Death- 1,01,782 Test- 7,89,92,534  Daily Increase  No of cases- 75829by 3647 Active- (-7371)by 10150 Recoveries- 82260by 3249 Death- 940by 129 Test- 11,42,131by 9456",0
1718,"A strong recovery will add legitimacy to #Trump's relaxed #Covid19 stance, but overall I don't see it swaying many votes. If #Biden also catches it, I will bet on who recovers first. If at all.",1
1719,Lol for real tho. Settle down #COVID19 ,1
1720,"Given what we know about how #COVID19 is transmitted, common sense would dictate that everyone in the GTA should wear a mask at all times when indoors with people not in their household or small social bubble. No exceptions, including to eat, consume alcohol, or workout.",0
1721,"@otvnews Public died on #COVID19, dead body not provided to family, last rites by @bmcbbsr at satyanagar smasan. Politician died on COVID19,  dead body will visit home, assembly,  party office and last rites to be held at swargadwar puri #RIPpradeepmaharathy My condolences to @maharathyp",0
1722,"Together And United, VS This Pandemic Of The Coronavirus #Covid19 To The End!   To Infinity And Beyond!  #Onward  #PixarSoul   #ToyStory2  ",0
1723,Hmm.  @rbathiudeen issue comes. We found a new #COVID19 case. Police curfew in Minuwangoda and Divlapitiya. I wish and hope this would be a false positive case and there will be no further cases. Well im back to #COVID19 talks. ,0
1724,"It is kind of ironic that the GOP and Donald Trump himself are accountable for more #covid19 cases and especially in terms of the spread of the disease than #blm protests ever were.   Especially since the #blm protests were responsible for the *spread* of, you know, zero cases... ",0
1725,Breaking - Police curfew imposed in Divulapitiya and Minuwangoda police areas. #LKA #SriLanka #COVID19 #COVID19SL,0
1726,"Take all possible safety measures, dont know how many contacts outside Divulapitiya and Minuwangoda. We dont want another lockdown #COVID19",1
1727,"It is just me, or was 2019 a really good year?  #2020 #COVID19 #BoomerSooner #goodeconomy",0
1728,It could be a sign that #DishonestDonny comes down with #Covid19 at this Time? Maybe? ,1
1729,Whats go be so funny about #JoeBiden winning is when NOTHING CHANGES humans might finally realize DAMN my life is really in my hands....just maybe they will realize this #donaldtrump #election #COVID19,0
1730,"India's #COVID19 tally crosses 65-lakh mark with a spike of 75,829 new cases &amp; 940 deaths reported in last 24 hours. Total case tally stands at 65,49,374 including 9,37,625 active cases, 55,09,967 cured/discharged/migrated cases &amp; 1,01,782 deaths: Union Health Ministry",1
1731,"Covid: UK announces more than 10,000 daily cases for first time  #COVID19 #coronavirus #UK",0
1732,"#US. #DonaldJTrump. #COVID19. Good luck Mr. President @realDonaldTrump! I do wish you a prompt recovery and a landslide victory in the upcoming presidential election, or globalism will defeat patriotism in your country and worldwide. The day must be yours in such battle... ",0
1733,"@SCGOP @LindseyGrahamSC @LindseyGrahamSC @GOP @SCGOP @realDonaldTrump &amp; Co. have defended Trump as he spread misinformation, conspiracy theories about #COVID19 and mocked people for wearing facemasks/social distancing. Why the hate? You are all complicit in nearly 210,000 American deaths and counting.",0
1734,"#COVID19  Cases 04/10/20:  Total no of  Cases- 65,49,373 Active- 9,37,625 Recoveries- 55,09,966 Death- 1,01,782 Test- 7,89,92,534  Daily Increase  No of cases- 75829by 3647 Active- (-7371)by 10150 Recoveries- 82260by 3249 Death- 940by 129 Test- 11,42,131by 9456",0
1735,"6)   Image is EVERYTHING to him to the point where he will cover up all the lies, the severity of his diagnosis, to make himself look good &amp; strong, even in the face of #COVID19 .",0
1736,@notcapnamerica @raye8405 Fair is Fair #COVID19 #Trump ,1
1737,"India's #COVID19 tally crosses 65-lakh mark with a spike of 75,829 new cases &amp; 940 deaths reported in last 24 hours.  Total case tally stands at 65,49,374 including 9,37,625 active cases, 55,09,967 cured/discharged/migrated cases &amp; 1,01,782 deaths: Union Health Ministry",1
1738,"@therealdojj @KeithPrinceAM @SadiqKhan @MayorofLondon @Heidi_LDN @TfL @MichaelMarmot @TheMarmotReview @LondonAssembly @ComfortDelGro @WSWS_Updates @LeshieLoves @RodrickSilva3 @MalLunam @DailyMirror @Fishthemod @TheGoAheadGroup @BusSafetyRep @CarolinePidgeon @LeeOdams @seanhoyle1 @wimbledonmac @unitetheunion @UniteLondonEast @BBCTomEdwards @LabourParty @BBCLondonNews @STG_AUD @c_ducourtieux TfL evidence reveals some Bus Operators were willing to take #Covid19 Risk Reduction Actions different (better?) than PHE recsThere was debate over interventions not part of PHE advice"" BUT ""@TfL asked the operators to continue to follow the PHE advice. ",0
1739,"@Melburger1 yes...w.t.heck?.?  i LOVE #LiveRescue  &amp; have so much respect for all these folks do... but, this just seems exponentially more irresponsible on multiple levels esp considering...current events.    #COVID19  #coronavirus  #TrumpHasCovid",1
1740,.-. AFTER TRUMP THE DELUGE  #DonaldTrump with criminal negligence Is attacking our own common sense ..but what hes going thru ..with the China #KungFlu May lead to an increase in suspense.   #COVID19 #TrumpHasCovid   ,0
1741,"@BBCWorld @CNN @FRANCE24 @dw @ChannelNewsAsia @CNBC @nytimes @ABC @europapress Difference betwn #Democracy &amp; @Communist #countries - while whole world knows that #US #President is hospitalised owing to #COVID19, no one would ever know if same was the case with #Chinese #President",0
1742,"Apparently, the #NFL started testing players last week. Postpone #Week4. I can wait on Devante to get well.  #COVID19 #GoPackGo",0
1743,British Virgin Islands has no active cases of the novel coronavirus disease/COVID-19. #COVID19,0
1744,@1ThessCh5 GOOD NEWS! We are waiting for this #ClassActionLawSuit to jump out of the starting blocks &amp; slam all the globalists in the place that hurts the most.... THEIR POCKETS. This #COVID19 &amp; #PCRfraud ends NOW. ,1
1745,I wonder when is #coronavirus's birthday. #COVID19,1
1746,I fvcking hate #Trump &amp; I hate #COVID19 &amp; I hate people who won't wear a mask &amp; tell me to go do my job. I do my job every day. It's not in my fking power to open my workplace and let everyone in. I'm not the fking boss. FUCK ALL OF YOU tRumpers &amp; tRumpettes. #Sheeple #fku2 &amp; u.,0
1747,"Ok, that's your lot on the #COVID19 front for the time being.  I've given you a good overview, although largely focusing today on #US &amp; #UK I appreciate.  For global info:  @Worldometers ",0
1748,"All jokes aside, it doesn't matter whether you're a democrat or a republican, can we all wish #PresidentTrump well? At the end of the day, he's still our president. #COVID19",0
1749,"If we have another year of #tRump, we could have anywhere from 500,000k to a million more of our citizens, dead from #Covid19.  This election has nothing to do with who's the gentleman, for most of us, it's a life and death thing.  #BidenHarris2020ToSaveAmerica ",0
1750,"@Kalingatv Public died due to #COVID19, dead body not provided to family, last rites by @bmcbbsr at satyanagar smasan. Politician died due to COVID19,  dead body will visit home, assembly,  party office and last rites to be held at swargadwar puri. #RIPpradeepmaharathy My condolences ",0
1751,"Fear isn't productive. Be informed, take sensible precautions, and then try to be patient.   #COVID19 #FlattenTheCurve",0
1752,"1,960 new cases in India   [5:15 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic",1
1753,Police Curfew imposed for the Minuwangoda and Divulapitiya police jurisdictions with immediate effect until further notice after 39 year old woman from Divulapitiya tested positive for #COVID19 ,0
1754,"To:  @SenatorCollins  @JeanneShaheen  @SenAngusKing @SenatorHassan  Re:  Border Closure Dear Senators, We're puzzled by your letter dated Sept 30, 2020 to POTUS. America doesn't have #Covid19 under control &amp; wanted to send tanks last time.The answer is no.  Have a nice day. ",0
1755,Looks like Lawyers from Europe/US have been doing some serious homework on the #COVID19 pandemic/#PCRTests process.  Time for some accountability...? Pass along to anyone in legal profession if theyre in your circles. ,0
1756,"India's #COVID19 tally crosses 65-lakh mark with a spike of 75,829 new cases &amp; 940 deaths reported in last 24 hours.  Total case tally stands at 65,49,374 including 9,37,625 active cases, 55,09,967 cured/discharged/migrated cases &amp; 1,01,782 deaths: Union Health Ministry",1
1757,Breaking - Police curfew imposed in Divulapitiya and Minuwangoda police areas. #LKA #SriLanka #COVID19 #COVID19SL,0
1758,"India's #COVID19 tally crosses 65-lakh mark with a spike of 75,829 new cases &amp; 940 deaths reported in last 24 hours.  Total case tally stands at 65,49,374 including 9,37,625 active cases, 55,09,967 cured/discharged/migrated cases &amp; 1,01,782 deaths: Union Health Ministry",1
1759,Don't say big brother did not umbrella you all.  #2020 #covid19 #rakyatjagarakyat @ Restoran Rebung Chef Ismail ,1
1760,#Goodreads   Understand the digital Transformation in Banking Post Covid19   Read   #PoweringYourCareer #executiveeducation #banking #epbfs #covid19 #transformation ,0
1761,Check out the Hyderabad Times e-paper:  and head to E-times for more movie news:   #HyderabadTimes #Epaper #TimesofIndia #Covid19 #Tollywood #Bollywood #Hollywood #Hyderabad #Epaper #AnushkaShetty #Nishabdham #SushantSinghRajput ,0
1762,There are more cases of #COVID19 in the #WhiteHouse than there are in Vietnam.,1
1763,"Who else knew that #Trump's personal doctor, isn't a doctor of medicine? #COVID19 #TrumpCovid #BidenHarrisToSaveAmerica",0
1764,"Trump says he is doing well, but next couple of days the 'real test'  #US #DonaldTrump #COVID19 #coronavirus",0
1765,"@TwitterComms y'all silly azzes should have had that energy long before now, but whatever #FOH  BTW, check the hate groups out (you know who they are) and let your algorithm/dev teams do some real work. #COVID19 #CoronaVirus #2020isonsomeBS #2020 #Twitter ",0
1766,Everyone at the @CDCgov and the @WHO and Dr Fauci and all news outlets other than @FOXTV were telling @realDonaldTrump to wear a mask and practice #SocialDistancing. He refused. Now hes sick. No conspiracy. Just stupidity. #COVID19 ,0
1767,JUST IN - Police curfew imposed in Divulapitiya and Minuwangoda police areas. #LKA #SriLanka #COVID19 #COVID19SL,0
1768,Update: Were all gonna call #COVID19 The Trump Virus Pass it on.  #coronavirus #TrumpCovid #TrumpHasCovid #TrumpVirus #DonaldTrump,0
1769,"Their selfishness and disregard for others wellbeing and safety while knowingly going out to host rally's, meet with donors in enclosed spaces, and continue to socialize while knowing or suspecting you have #COVID19 is unforgivable - period.",0
1770,@JoeBiden That crisis is that the President is a septuagenarian with #COVID19.  The other candidate probably would not survive a bout with #COVID19. Please remain in your basement for your safety.  Your grandkids need you whether your kids accept them or not.,1
1771,"Everyone of us has friends, family, co-workers and the like who's politics differ from our own.  I don't suspect the we, our friends, and most/all #Americans  who BELIEVED or KNEW they has #COVID19  would go and visit, host gatherings, or put others at risk for our own gain.",0
1772,"UPDATE Nicholas Luna, Assistant to the President, has tested positive to #COVID19. He traveled aboard Air Force One to Minnesota events--a fundraiser in Shorewood, MN, and campaign rally at Duluth, MN on Wednesday, September 30. At least 11 have now tested +",0
1773,@AndyOstroy Because #COVID19 patients roam the halls freely,0
1774,Rude ppl just like @POTUS #TrumpHasCovid #TrumpVirus #Trump #RoseGardenMassacre #WalterReed #WhiteHouse #COVIDIOTS #COVID19 #LindseyMustGo #Biden #BidenHarrisToSaveAmerica #VOTE #VoteHimOut #VoterSuppression #Texas #Meadows ,1
1775,"India's #COVID19 tally crosses 65-lakh mark with a spike of 75,829 new cases &amp; 940 deaths reported in last 24 hours.  Total case tally stands at 65,49,374 including 9,37,625 active cases, 55,09,967 cured/discharged/migrated cases &amp; 1,01,782 deaths: Union Health Ministry ",1
1776,"Ooohhhhh so NOW it's important to proceed with caution!? MILLIONS OF PEOPLE HAVE DIED but now that #COVID19 has hit Washington ""it's hold the phone"" It's ok Liz our children are in school, first responders don't have what they need &amp; Millions are now sick &amp; homeless. YOU have HC ",0
1777,"@nudog71 Simply wish @realDonaldTrump, the @GOP &amp; Co. the same compassion and empathy that have for the nearly 210,000 Americans who have died of #COVID19, through their complicity as Trump spread misinformation, conspiracy theories and mocked people for wearing facemasks &amp; distancing.",0
1778,We are LIVE! Watch the 3rd Ep of @BIGD_BRACU 's #Digital Inclusion #Webinar Series: Last mile experience of #MFS during #COVID19! #DigitalLiteracyMatters #RPG4Impact   ,0
1779," Covid-19 pandemic has confined most workers at their homes. As people continue to work from home secured connectivity concern has erupted again.""  Continue reading here    #ETTE #RemoteWork #COVID19 #WorkFromHome #EmployeeManagement #ETTEBlog ",0
1780,".@adrianktam finds SNL hilarious. Getting #COVID19 is joke worthy to democrats. Tell that to the victims of covid19, Tam. #MorbidHumor   If the State had more Republican's like @OchsForHawaii in office this tragedy would have been better managed and avoided. ",0
1781," ""Its a global responsibility.  Hear from our Medical Officer in Mosul, Dr. Ahmed Osamah Al-Qazzaz, on how together, we can stop the spread of #COVID19  ",0
1782,@5adoma5ochry5t @joy_eliz215 @JoeNavarro82 @Acosta Symptoms usually dont show for 5 days ave.  Not to mention he recklessly went to a number of events unmasked &amp; indoors Wednesday... so yea... after watching him on TV all week without mask Id say we were ALL pretty fucking interested to hear EXACTLY when he contracted #COVID19,1
1783,"@WattersWorld so if @realDonaldTrump recovers so quickly from #COVID19 with these so called miracle drugs, how quickly will lives be saved?",0
1784,Hey Trumpers; if you got the 'Rona the treatment would cost you way more than 750 bucks. #DonaldJTrump #donaldtrumphasCOVID #coronavirus #Covid_19 #COVID19 #TaxFraudTrump,0
1785,Ya know? Donald #Trumps inability to stay free of #COVID19 in the most protected bubble in the Western Hemisphere is a testimony to his proneness to fuck up anything no matter how easy it is set up to succeed. Fight me.,1
1786,"Loss of smell and taste is said to be a reliable factor to detect Covid, says this study. #COVID19 #nmmc  ",0
1787,@juckky72 @JohnAALogan Here's video of Dr Fauci a leader on #coronavirus Task Force in USA saying masks do not prevent #COVID19 ,0
1788,"Together And United, VS This Pandemic Of The Coronavirus #Covid19 To The End!   To Infinity And Beyond!  #Onward  #PixarSoul   #ToyStory2  ",0
1789,"Difference between #Democracy &amp; @Communist #countries - while whole world knows that #US #President is hospitalised owing to #COVID19 , no one would ever know if same was the case with #Chinese #President",0
1790,Global #COVID19 cases top 34.7 million: Johns Hopkins ,0
1791,Has anyone with #COVID19 visited Ghislaine Maxwell? ,0
1792,"Difference between #Democracy &amp; @Communist #countries - while whole world knows that #US #President is hospitalised owing to #COVID19 , no one would ever know if same was the case with #Chinese #President  @globaltimesnews @PDChina @PDChinese @chinascio @XHNews @SinaWeibo",0
1793,@JustAManic2020 @alusa2008 @chrislhayes We will never know how many people Donald Trump and other GOP members have spread #Covid19 to. Many won't be tested. Many won't be have symptoms. But the numbers will go up.,0
1794,"Cooler temps may start to push us indoors more but anyone can get #COVID19  so we all need to stay the course with masks, social distancing, hand cleaning, etc. ",0
1795,@marklevinshow All you Fox morons are in a alter universe. #WearADamnMask #TrumpCovid #TrumpSuperSpreaderEvent @FoxNews @marklevinshow @realDonaldTrump @GOP #TrumpLied200KAmericansdied #COVID19,1
1796,"Unbelievable! Now I'm hearing all these @GOP'ers who've done nothing but recklessly back-up Trump's wanton recklessness &amp; callousness in word &amp; deed concerning #COVID19 suddenly realize how really STUPID they look, NOW using this phrase: ""Out of an abundance of caution"". GMAFB!!",0
1797,@DrEricDing @Briargirl4 @ronjohnson I stand corrected. He tested #COVID19 positive 9/14. He isolated for 14 days w/o developing symptoms and tested negative twice during that time.  He only returned to Washington on Sept. 29.  What about immunity from 9/14 event? ???,0
1798,Does Trump really have the COVID-19 virus? Or is this all another Trump scam to market a medication he has stock in?   #WhiteHouseChaos #trumpCorruption #covid19 #coronavirus #pandemic #SocialDistancing #Regeneron #Gilead #Remdesivir   via @usatoday,0
1799,",...CONTINUING OUR JOURNEY TOWARDS THE ABYSS (October 4, 2020; 11:41 HKT) #COVID2020 #covid2019 #covid19 #HONGKONG #HK",0
1800,"Hope some doing #ContactTracing on #Donors attending #Fundraiser #Trump in #Bedminster #NewJersey.  - Havent heard anything about #WhiteHouse following up on #COVID19 #CoronaVirus #Testing of #Donors waiters, drivers, other dining staff &amp; #SecretServiceAgents @chrislhayes @AC360",1
1801,"1. #USA leads the world with most cases of #COVID19 cases and deaths in the world. State by state stats as of October 3, 2020. #Alabama: 158,380 cases &amp; 2,558 deaths. 4.5% increase within 7 days. #Alaska: 9,187 cases &amp; 58 deaths. 10.5% increase within 7 days.",0
1802,Hey COVID! Get the fuck out of here! #COVID19,1
1803,@MollyJongFast No but I did read here today where a news source was quoted as saying that #Barr has no plans to go into quarantine.  #COVID19,1
1804,White House Spreads #COVID19 and Lies About Trumps Health ,1
1805,"@IvankaTrump @realDonaldTrump I hope all the @WhiteHouse auxiliary staff - housekeepers, cooks, janitors, gardeners, wait staff, including this WH photographer, etc can afford a #Remdesivir treatment if they get infected  with #COVID19 .   #WhiteHouseOutbreak  ",1
1806,POS. Not POTUS. Expects compassion. Gives none.  #COVID19 #TrumpCrimeFamily  #TrumpLied200KDied ,0
1807,".@VP #Arizonans have been working hard to suppress our #COVID19 stats here lately after a recent scare. And we've been mostly responsible, as citizens.   Stay away! You're not quarantining &amp; you recently attended a #TrumpSuperSpreaderEvent. #RoseGardenMassacre Leave us alone!  ",0
1808,"@thehill This is asinine.  It's unrealistic to assume that they didn't put him on oxygen at all. They would've at least done it as a precaution when he first arrived with something like #COVID19.  But if they admit it, his detractors would blow it all out of proportion.",1
1809,"FIVE new cases (REVISED #: 5114)..., (October 4, 2020; 11:41 HKT) #COVID2020 #COVID2019 #COVID19 #HONGKONG #HK",1
1810,Hybrid teaching week 1 was...           #TeacherLife #COVID19 #Teaching #MusicEducation,0
1811,Now one of Trumps personal assistants has tested positive for #Covid19 ,0
1812," #akotopamnews  The total number of confirmed #COVID19 cases is  679 716, the total number of deaths is 16 938 and the total number of recoveries is 612 763 ",0
1813,"Learn more about why individuals with #Cancer may be at higher risk of severe #COVID19 and about different ""immune responses that confer protective or adverse reactions to this disease""   @NatureCancer    ",0
1814,@IvankaTrump Show us and  your wifes  #COVID19 test results. You  Lie ,0
1815,Sharpie #Covid19 around #AmericasGreatestMistake ,0
1816,Loved the karma and science line from @JimCarrey! Jim did AWESOME for his 1st time as @JoeBiden btw! Loved the facial expressions! I also loved that @chrisrock spoke the truth re: @realDonaldTrump having #COVID19 ( poor Covid) n didn't say some BS like other ppl. #SNLPremiere,1
1817,"@pastormarkburns @realDonaldTrump Yes.  Actually, they've been pointing the bazooka at themselves for the last six months.  It's a testament to their incompetence that it's taken them this long to have an outbreak.  #COVID19 #TrumpGotCovid #TrumpGotTheRona",0
1818,Diabetic ketoacidosis in the time of COVID19 and resourcelimited settings: role of subcutaneous insulin  #DKA #COVID19   ,1
1819,"@Goss30Goss Trump's lies, negligence and complicity in the deaths of nearly 210,000 Americans and counting by spreading #COVID19 misinformation, conspiracy theories and mocking wearing facemasks and distancing, is a 24/7 cycle of stupidity.",0
1820,The I dont care about you or anyone thats not me administration. #GOP #Trump #COVID19 ,0
1821,"@GOPLeader #COVID19 has has got DT AND the entire US because GOP don't believe in science #CovidCaughtTrump. @VP decided thoughts &amp; prayers will do+ threw everything else away. You let more than 208,000 US residents perish on your watch, a grossly undercounted death toll likely 2-3x higher.",0
1822,"""#COVIDIOTs: Those that refused to follow science-based prevention guidelines, then became infected with and ill/died from #COVID19 in large numbers, even at the highest levels of government, in 2020."" ",0
1823,"After a brief spike in the middle of September, the number of active #COVID19 cases in Mumbai has now dropped to an average of 27,000 this week  (report by @sagaronic)   ",1
1824,@IvankaTrump Is he working on his BEAUTIFUL healthcare plan in this pic? I hope to be covered like he was if I get #COVID19. I also hope I dont die alone hooked to a ventilator or worse end up in massive debt. Cant wait to see the plan!!! #Excited,0
1825,On this 12th Sunday before Christmas.....   Please join us in spraying for the end of Coronavirus.  #CoronaVirus #COVID19 #Covid_19 ,0
1826,"From Monday, restaurants in Maharashtra will open for in-house dining with 50% capacity. Here are the guidelines owners and diners will have to follow. Update via @Eeshanpriya #COVID19 #Unlock5 #BeginAgain ",0
1827,"We all witnessed, what happend at #up border , no social distancing, to protest agaisnt  #crime you can't commit crime , in this #worldpandamic #COVID19",0
1828,"@NFL @NFLPA how is it that MLB, NBA and NHL were able not to fuck this up but you go last and still do!  #NFL #COVID19",0
1829,Someone got his own suite in the hospital.  #COVID19  #GOPSuperSpreaders ,0
1830,Breaking - Police curfew imposed in Divulapitiya and Minuwangoda police areas. #LKA #SriLanka #COVID19 #COVID19SL,0
1831,Watch NFL season get postponed!!! Smh #nfl #coronavirus #COVID19,0
1832,"@JoannaSays @KingCujo @__Arthur_Dent__ @ProjectLincoln @JoeBiden Note:Has Trump ACTIVELY encouraged EVERYONE to wear masks and take precautions like social distancing since ""getting #COVID19 ""? Doesn't he want his OWN FANATICAL FOLLOWERS to take precautions? #TrumpIsALiar  #TrumpWillDoAnything  @cnnbrk @maddow @eugenegu",0
1833,Emails reveal how Hobart's Crowne Plaza imported tradies amid lockdown ahead of grand opening #COVID19   ,0
1834,@JillEvansjp0077 @OnCall4ON @fordnation @celliottability 1/ CDC data shows shutdowns  did NOT lower #COVID19 mortality. Todays update ooln ongoing analysis of CDC data  (a thread).  ,0
1835,@maartenvda @midwest_sarah And @ChrisChristie got a bed just out of PRECAUTION because he has ?!asthsma?! He ISNT even an ELECTED OFFICIAL anymore!  #Deplorable #Covid19 #TrumpHasCovid #CovidCaughtTrump #AmericaisthenewFrance #LetThemEatCake,0
1836,@JoyAnnReid Couldnt happen to the better crowd. Hopefully all attendees will test positive - for #COVID19 as they tested negative for intelligence &amp; humanity long time ago,0
1837,"Delhi: Candidates arrive at an examination centre to write UPSC civil services preliminary examination, 2020 amid #COVID19 pandemic outbreak.  A candidate, says, ""I used public transport to reach the centre. It was not safe, but what can I do? I had to appear in the exam."" (ANI) ",1
1838,Worth considering/bookmarking on trump's #COVID19 :  Michael Moore claims trump might be faking Covid diagnosis ,0
1839,"31 #2020Election will be a #repudiation of Trump's #character, lack of #leadership &amp; #GOP's complicity of his actions.   #TrumpKnew #COVID19 #TrumpKnewAndDidNothing #HoldTrumpAccountable #RejectTrumpism #VoteTrumpOut2020 #LiarInChief #CorruptTrump #FascistTrump #RVAT2020 ",0
1840,"The total number of detected COVID-19 cases is 679,716 with 1,883 new cases identified. #COVID19 #COVID19SA ",0
1841,"@IvankaTrump Yes, a relentless fu*king liar!  #TrumpLied200KDied #TrumpIsANationalDisgrace #COVID19 #sundayvibes",1
1842,Scarcity of masks and absolutely no leadership from the @GOP .  @realDonaldTrump is in the hospital because of #COVID19 .  If it was nothing he would have been discharged.  Don't put your life on the line bcuz @realDonaldTrump lacks the intelligence to tell you #COVID19 can kill. ,0
1843,"@jilevin  One can only hope!!!.. #DonaldTrump #DictatorTrump #IdiotInChief #ChrisChristie... So much #hope #Satan will take his #GOP sons back to him!... They talked about #coronavirushoax, right? #QANONS say theres NO #COVID19!#TrumpDeathToll210K",0
1844,Thank goodness #TrumpHasCovid #TrumpVirus #Trump #RoseGardenMassacre #WalterReed #WhiteHouse #COVIDIOTS #COVID19 #LindseyMustGo #Biden #BidenHarrisToSaveAmerica #VOTE #VoteHimOut #VoterSuppression #Texas #Meadows ,0
1845,"Samples tested on 3 October: 11,42,131 Total samples tested up to 3 October: 7,89,92,534 #COVID19 #coronavirus #snewsindia #covid19 #coronaupdatesinindia #latestnews #hindinews #news ",0
1846,A #Saints player has tested positive for #COVID19.,0
1847,Foreign Minister Kang's spouse makes personal trip to US despite travel advisory  #SouthKorea #KangKyungWha #COVID19 #UnitedStates ,0
1848,"Donald Trumps vitals in the past 24 hours were very concerning, according to sources familiar with the US Presidents condition  #COVID19   ",0
1849,YOOO @soledadobrien is #BOUTIT!  #Repost @soledadobrien #covid19 #contacttracing ,0
1850,I just can't sink the fact that there is nogarbanights this year.  #Navratri2020 #COVID19,0
1851,Union Minister Shri Dharmendra Pradhan who has recently recovered from Covid19 today donated Plasma . The leader appealed to all #COVID19 recovered persons to donate plasma which will be a great humanitarian as well as spiritual service in the time of pandemic.  #DpDonatesPlasma,0
1852,"Nobody cares, but for the record, if #DonaldTrump does meet the fate of over 220K #Americans who contracted #COVID19, I plan to show him the same #respect he paid the late #JohnMcCain. Seems only #fair.",1
